State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total day minutes (normalized)
KS,128,415,No,Yes,25,265.1,110.0,45.07,197.4,99.0,16.78,244.7,91.0,11.01,10.0,3,2.7,1.0,False,0.7557012542759407
OH,107,415,No,Yes,26,161.6,123.0,27.47,195.5,103.0,16.62,254.4,103.0,11.45,13.7,3,3.7,1.0,False,0.46066134549600907
NJ,137,415,No,No,0,243.4,114.0,41.38,121.2,110.0,10.3,162.6,104.0,7.32,12.2,5,3.29,0.0,False,0.693842645381984
OH,84,408,Yes,No,0,299.4,71.0,50.9,61.9,88.0,5.26,196.9,89.0,8.86,6.6,7,1.78,2.0,False,0.8534777651083237
OK,75,415,Yes,No,0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,121.0,8.41,10.1,3,2.73,3.0,False,0.47519954389965785
AL,118,510,Yes,No,0,223.4,98.0,37.98,220.6,101.0,18.75,203.9,118.0,9.18,6.3,6,1.7,0.0,False,0.636830102622577
MA,121,510,No,Yes,24,218.2,88.0,37.09,348.5,108.0,29.62,212.6,118.0,9.57,7.5,7,2.03,3.0,,0.6220068415051311
MO,147,415,Yes,No,0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6,1.92,0.0,False,0.44754846066134546
LA,117,408,No,No,0,184.5,97.0,31.37,351.6,80.0,29.89,215.8,90.0,9.71,8.7,4,2.35,1.0,False,0.5259407069555302
WV,141,415,Yes,Yes,37,258.6,84.0,43.96,222.0,111.0,18.87,326.4,97.0,14.69,11.2,5,3.02,0.0,False,0.7371721778791335
IN,65,415,No,No,0,129.1,137.0,21.95,228.5,83.0,19.42,208.8,111.0,9.4,12.7,6,3.43,4.0,True,0.36801596351197263
RI,74,415,No,No,0,187.7,127.0,31.91,163.4,148.0,13.89,196.0,94.0,8.82,9.1,5,2.46,0.0,False,0.5350627137970353
IA,168,408,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,104.9,71.0,8.92,141.1,128.0,6.35,11.2,2,3.02,1.0,False,0.5125061293201627
MT,95,510,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,247.6,75.0,21.05,192.3,115.0,8.65,12.3,5,3.32,3.0,False,0.5125061293201627
IA,62,415,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,307.2,76.0,26.11,203.0,99.0,9.14,13.1,6,3.54,4.0,False,0.5125061293201627
NY,161,415,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,317.8,97.0,27.01,160.6,128.0,7.23,5.4,9,1.46,4.0,True,0.5125061293201627
ID,85,408,No,Yes,27,179.78715016551308,100.45621426421908,30.557831070889893,280.9,90.0,23.88,89.3,100.11524609843937,4.02,13.8,4,3.73,1.0,False,0.5125061293201627
VT,93,510,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,218.2,111.0,18.55,129.6,121.0,5.83,8.1,3,2.19,3.0,False,0.5125061293201627
VA,76,510,No,Yes,33,179.78715016551308,100.45621426421908,30.557831070889893,212.8,65.0,18.09,165.7,108.0,7.46,10.0,5,2.7,1.0,False,0.5125061293201627
TX,73,415,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,201.03393501805056,88.0,13.56,192.8,74.0,8.68,13.0,2,3.51,1.0,False,0.5125061293201627
FL,147,415,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,239.7,93.0,20.37,208.8,133.0,9.4,10.6,4,2.86,0.0,False,0.5125061293201627
CO,77,408,No,No,0,179.78715016551308,100.45621426421908,30.557831070889893,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6,1.54,5.0,True,0.5125061293201627
